Etjuhundur	Sporhundur
Rússagilli	Samkoma stúdenta til að fagna nýnemum að hausti
Lunti	Kveikiþráður á byssu. Orðið er einnig notað yfir getnaðarlim karla.
Traðjarka	Ganga fram og aftur, spandspora
Byrsla	Skilrúm milli bása í fjósi
Að vera í smjörkaupum	Að ganga með pilsfaldinn uppbrettan óviljandi
Kúdda	Að kála einhverjum. Dæmi: „Bóndi kúddaði illmenninu.“
Attnefóttur	Kind sem er dökk á lit með hvítan haus og háls en dökka bauga kringum augun
Dúfi	Dúfi er skvamp eða gutl í vatni
Drulsa	Hali
Sýst	Lýsingarháttur þátíðar af sýsla, að starfa eða hafast að
Horlopi	Hold sem er slappt af hungri. Einnig notað yfir gisið hár.
Málajárn	Skreytt vopn úr járni
Katekólamín	Efni sem líkaminn framleiðir, skylt adrenalíni
Paxblað	Spjald með krossmarki sem kysst er við guðsþjónustur
Kjafal	Ermalaus flík með hettu sem er hneppt saman milli fótanna og opin á hliðum
Skreppíni	Sjónhverfing eða missýning
Æðvængjur	Ættbálkur skordýra himnu í glugga sem skiptist í tvo undirættbálka, sagvespur og broddvespur
Ásvellur	Ásvellur maður er yfirgangssamur eða frekur
Súðarbirna	Frammúnt og ófríð stúlka
Brókaði	Þykkt munstrað silkiefni sem er notað í fínan klæðnað og er oft skært á litinn
Pampúsa	Lélegur skór
Élker	Himinn
Krjábull	Torlesin ljót skrift
Bengill	Maður með skakka fætur
Dyfta	Að púðra sig
Hralíka	Skinnlaus
Kjarrygla	Eitt af stærstu fiðrildum sem finnast á Íslandi. Það er þó afar sjaldgæft.
Dómgrindur	Grindverk utan um vitnastúku í dómsal
Traðjóla	Að traðka á einhverju og óhreinka það
Skjábulungur	Grind um gegnsæja himnu í glugga sem notuð var í stað rúðu
Ketterí	Villutrú, sbr. kettari (trúvillingur)
Finnvika	Að stunda galdra á sama hátt og finnskir menn
Gnæfrar	Bjálkaendar sem standa út á hornum í bjálkahúsi
Skeppa	Mælieining. Oft notuð til að mæla korn og vísar þá til 1/8 úr tunnu.
Statút	Tilgangslaus regla
Bausnalegur	Klunnalegur
Búsbútutur	Er notað um þann hlut sem verður að vera til á hverjum bæ þar sem stundaður er búskapur
Einjárn	Að vera einjárn þýðir að vera stöðugur eða samfelldur
Skynskiptingur	Flóni, vitleysingur
Fýbjakk	Orðið fýbjakk er notað til að lýsa skömm eða andstyggð á einhverju
Nafa	Smábútur
Loggorta	Seglskip notað til strandsiglinga. Komið úr hollensku: Logger.
Sufla	Mjaltakona
Spansk	Leikur þar sem höndum er slegið saman, oft leikinn til að halda á sér hita
Brótólía	Mistök eða ruglingur
Stöðvarkóngur	Fágæt sæsnigilstegund
Konupungur	Sæsveppur
Nefi	Frændi, samanber enska orðið „nephew“
Lympía	Heigull
Erðgróinn	Vaxinn í jörðu, sagt um dverga. Dæmi: „Jón var svo smár að hann var erðgróinn.“
Tynglukvísl	Æð sem liggur til vinstra lunga
Bosvindi	Skafrenningur
Skriðköttur	Sá sem alltaf nær prófum með lágmarkseinkunn
Rotinpúra	Rytjuleg, gömul kind
Lágnaðarbragð	Örlítill yldukeimur
Netbykkni	Þykkir en götóttir skýjaflókar
Sópdyngja	Fornt orð yfir ruslahaug
Sóri	Húðsjúkdómur sem kemur fram í bleikum hreistrugum flekkjum á húðinni
Örglast	Að rísa upp með erfiðismunum
Sjafni	Brúðgumi
Hlutaskítur	Sá sem skiptir sér af því sem honum kemur ekki við
Sönhattur	Bragarháttur sem einkennir sonettur
Magagreppur	Þurrkaður selsmagi sem notaður var sem ílát undir lýsi
Legða	Hrisla sem liggur með jörðinni
Kefsir	þræll
Mannauli	Mannauli
Motur	Kvenmannshattur, gerður úr hvítu efni
Bolværing	Sjúkdómur sem veldur litabreytingum í húð
Skrumpeis	Þeytt undanrenna sem þenst út við það að hellt er út í hana heitri mjólk
Dásinn	Latur
Skólkinni	Úlfur
Fýluböllur	Sveppategund
Pippingur	Úfinn sjór og öldumikill
Frugga	Mygla
Kirki	Gjá með rennandi vatni
Broðháfur	Grófur sokkur
Refhvörf	Þegar orðum með gagnstæða merkingu er raðað saman (t.d. í skáldskap)
Groppagrind	Þræðir í risvefjum getnaðarlims
Hnútrós	Sjúkdómur sem leggst sérstaklega á ungar konur. Einkennist m.a. af gigtarverkjum.
Krummaolía	Brennivín
Símilja	Grófmalað, glútenríkt hveiti sem er notað í ýmsa mjólkurgrauta
